# kdata file
# Format: Name, Sweetness, Sourness, Nuttiness, Texture
Good Ivan's Sour Salted Nugat-Filled Fudge,0.15,0.87,0.62,0.22
Good Ivan's Tangy Bittersweet Peanut-Butter Bar,0.65,0.81,0.69,0.55
Hearsay Sinful Chocolate Clusters,0.81,0.66,0.26,0.82
Nastly Bitter Peanut-Butter Nonpariels,0.27,0.63,0.69,0.39
Hearsay Semisweet Peanut-Butter Fudge,0.35,0.7,0.41,0.15
Good Ivan's Sour Sinful Chocolate Coated Nonpariels,0.91,0.98,0.61,0.58
Billy Bonker's Refreshingly Dark Nut Candy Sticks,0.54,0.06,0.74,0.86
Hearsay Sinful Spearmint Velvet,0.95,0.62,0.28,0.01
Hearsay Tangy Semisweet Caramel Mints,0.35,0.71,0.01,0.32
Hearsay Bitter Nut Clusters,0.2,0.48,0.98,0.84
Billy Bonker's Refreshingly Dark Nut Chews,0.62,0.24,0.77,0.17
Good Ivan's Indulgent Chocolate Chews,0.73,0.65,0.23,0.02
Billy Bonker's Salted Peanut Mints,0.27,0.38,0.76,0.63
Nastly Sour Indulgent Wintergreen Clusters,0.84,0.88,0.04,0.86
Hearsay Indulgent Peanut Wafers,0.9,0.63,0.83,0.6
Good Ivan's Luxurious Dark Chocolate Coated Candy Sticks,0.7,0.04,0.7,0.82
Billy Bonker's Tangy Sinful Chocolate Coated Bar,0.95,0.83,0.64,0.5
Good Ivan's Refreshingly Dark Nugat-Filled Lollipops,0.41,0.11,0.61,0.78
Nastly Salted Nugat-Filled Jawbreakers,0.22,0.44,0.67,0.99
Nastly Sour Indulgent Almond Mints,0.76,0.86,0.74,0.61
Nastly Bitter Peanut-Butter Velvet,0.27,0.65,0.52,0.28
Hearsay Tart Indulgent Peanut Mints,0.86,0.91,0.88,0.62
Billy Bonker's Refreshingly Semisweet Cashew Wafers,0.51,0.05,0.95,0.66
Billy Bonker's Tangy Salted Nugat-Filled Velvet,0.1,0.79,0.5,0.12
Nastly Sinful Nut Wafers,0.99,0.68,0.8,0.42
Good Ivan's Sinful Spearmint Bar,0.8,0.62,0.09,0.65
Good Ivan's Sinful Chocolate Fudge,0.72,0.55,0.1,0.17
Hearsay Refreshingly Bittersweet Chocolate Coated Clusters,0.44,0.1,0.61,0.98
Billy Bonker's Tangy Salted Chocolate Coated Chews,0.09,0.85,0.55,0.21
Good Ivan's Luxurious Semisweet Peanut Jawbreakers,0.31,0.16,0.95,0.9
Good Ivan's Tart Sinful Peanut Wafers,0.79,0.94,0.83,0.48
Nastly Semisweet Caramel Wafers,0.61,0.42,0.24,0.33
Nastly Tart Indulgent Almond Nonpariels,0.73,0.92,0.74,0.39
Nastly Tangy Honey Nut Bar,0.89,0.72,0.78,0.38
Billy Bonker's Bittersweet Peanut Lollipops,0.31,0.5,0.87,0.85
Billy Bonker's Tangy Dark Nugat-Filled Chews,0.39,0.9,0.52,0.26
Billy Bonker's Tangy Indulgent Wintergreen Clusters,0.72,0.88,0.02,0.95
Hearsay Semisweet Nut Fudge,0.46,0.35,0.96,0.05
Hearsay Luxurious Bittersweet Almond Clusters,0.5,0.09,0.84,0.78
Hearsay Cheese Nugat-Filled Velvet,0.21,0.62,0.33,0.09
Nastly Luxurious Bittersweet Peanut Velvet,0.62,0.01,0.88,0.1
Nastly Refreshingly Dark Peanut Jawbreakers,0.44,0.28,0.88,0.99
Nastly Cool Bittersweet Chocolate Coated Clusters,0.57,0.23,0.6,0.85
Good Ivan's Tart Sinful Wintergreen Clusters,0.88,0.96,0.09,0.88
Nastly Bittersweet Walnut Fudge,0.58,0.37,0.9,0.08
Good Ivan's Refreshingly Honey Peanut-Butter Bar,0.9,0.05,0.34,0.41
Good Ivan's Sinful Wintergreen Wafers,0.9,0.41,0.27,0.36
Good Ivan's Tart Dark Nugat-Filled Nonpariels,0.54,0.92,0.36,0.35
Billy Bonker's Bittersweet Nugat-Filled Velvet,0.67,0.32,0.66,0.2
Billy Bonker's Bittersweet Chocolate Coated Chews,0.36,0.64,0.57,0.26
Hearsay Cool Sinful Peanut-Butter Wafers,0.72,0.14,0.63,0.37
Billy Bonker's Refreshingly Dark Walnut Clusters,0.39,0.08,0.77,0.96
Nastly Honey Almond Wafers,0.9,0.7,0.74,0.63
Good Ivan's Salted Nugat-Filled Jawbreakers,0.09,0.47,0.63,0.8
Good Ivan's Cool Semisweet Nugat-Filled Mints,0.63,0.05,0.52,0.63
Hearsay Luxurious Dark Peanut-Butter Candy Sticks,0.62,0.27,0.67,0.77
Hearsay Bittersweet Walnut Bar,0.4,0.69,0.74,0.7
Good Ivan's Cool Bittersweet Almond Lollipops,0.35,0.04,0.85,0.86
Good Ivan's Bittersweet Peanut Wafers,0.36,0.34,0.75,0.37
