# kdata file
# Format: Name, Sweetness, Sourness, Nuttiness, Texture
Good Ivan's Cool Bittersweet Peanut-Butter Wafers,0.64,0.05,0.49,0.42
Billy Bonker's Sinful Cashew Clusters,0.9,0.48,0.99,1
Billy Bonker's Dark Fruit Chews,0.55,0.59,0.22,0.09
Good Ivan's Salted Peanut Candy Sticks,0.19,0.69,0.98,0.92
Hearsay Cool Semisweet Cashew Chews,0.33,0.16,0.84,0.06
Billy Bonker's Semisweet Spearmint Nonpariels,0.33,0.6,0.14,0.57
Billy Bonker's Sour Bitter Almond Wafers,0.23,0.99,0.81,0.55
Good Ivan's Semisweet Chocolate Coated Velvet,0.66,0.35,0.31,0.16
Billy Bonker's Tart Bitter Chocolate Coated Velvet,0.17,0.76,0.66,0.29
Billy Bonker's Sour Dark Wintergreen Candy Sticks,0.44,0.89,0.24,0.81
Hearsay Sour Dark Wintergreen Velvet,0.41,0.99,0.09,0.17
Hearsay Tart Honey Cashew Candy Sticks,0.82,0.89,0.99,0.72
Nastly Indulgent Wintergreen Bar,0.94,0.48,0.13,0.39
Hearsay Tangy Bittersweet Peanut Wafers,0.46,0.98,0.71,0.5
Hearsay Semisweet Chocolate Coated Nonpariels,0.48,0.68,0.59,0.66
Good Ivan's Cheese Nugat-Filled Chews,0.26,0.64,0.47,0.26
Billy Bonker's Honey Peanut-Butter Lollipops,0.74,0.55,0.57,0.86
Good Ivan's Cool Semisweet Peanut-Butter Wafers,0.62,0.04,0.41,0.63
Good Ivan's Tart Bitter Fruit Candy Sticks,0.2,0.99,0.1,0.77
Billy Bonker's Dark Peanut Velvet,0.7,0.4,0.73,0.09
Good Ivan's Luxurious Bitter Wintergreen Wafers,0.25,0.23,0.06,0.56
Hearsay Luxurious Semisweet Peanut-Butter Jawbreakers,0.57,0.15,0.69,0.96
Billy Bonker's Dark Cashew Clusters,0.65,0.41,0.99,0.91
Billy Bonker's Indulgent Fruit Velvet,0.89,0.44,0.24,0.27
Good Ivan's Sour Bitter Nugat-Filled Fudge,0.15,0.8,0.33,0.19
Hearsay Indulgent Wintergreen Chews,0.8,0.31,0.12,0.18
Hearsay Refreshingly Honey Chocolate Coated Bar,0.72,0.21,0.34,0.51
Good Ivan's Tangy Bitter Chocolate Coated Velvet,0.09,0.85,0.46,0.2
Nastly Bittersweet Nut Wafers,0.33,0.53,0.76,0.63
Hearsay Dark Almond Jawbreakers,0.32,0.49,0.97,0.92
Hearsay Cheese Peanut-Butter Candy Sticks,0.09,0.43,0.68,0.8
Hearsay Tart Indulgent Chocolate Candy Sticks,0.75,0.94,0.06,0.75
Billy Bonker's Sour Indulgent Wintergreen Mints,0.85,0.93,0.22,0.61
Nastly Tangy Bittersweet Chocolate Coated Chews,0.39,0.95,0.56,0.13
Nastly Sinful Caramel Wafers,0.76,0.47,0.18,0.35
Good Ivan's Honey Caramel Wafers,0.93,0.36,0.15,0.3
Hearsay Bittersweet Spearmint Clusters,0.69,0.61,0.04,0.97
Nastly Semisweet Cashew Mints,0.48,0.64,0.75,0.66
Good Ivan's Indulgent Fruit Bar,0.88,0.68,0.04,0.69
Good Ivan's Bitter Caramel Bar,0.21,0.47,0.29,0.65
Nastly Semisweet Spearmint Mints,0.4,0.63,0.19,0.41
Billy Bonker's Sinful Nugat-Filled Mints,0.97,0.61,0.63,0.5
Billy Bonker's Indulgent Chocolate Coated Chews,0.92,0.38,0.53,0.04
Good Ivan's Luxurious Indulgent Nugat-Filled Bar,0.95,0.23,0.37,0.61
Billy Bonker's Sour Semisweet Walnut Wafers,0.4,0.86,0.75,0.65
Hearsay Refreshingly Cheese Fruit Wafers,0.27,0.26,0.08,0.39
Nastly Indulgent Chocolate Coated Nonpariels,0.74,0.61,0.64,0.57
Good Ivan's Tangy Dark Peanut-Butter Bar,0.39,0.74,0.37,0.59
Billy Bonker's Sour Bittersweet Chocolate Coated Mints,0.59,0.89,0.47,0.67
Nastly Bittersweet Caramel Nonpariels,0.44,0.6,0.22,0.6
Good Ivan's Cool Dark Nugat-Filled Candy Sticks,0.65,0.21,0.63,0.72
Nastly Bittersweet Peanut-Butter Clusters,0.67,0.66,0.45,0.72
Billy Bonker's Bittersweet Fruit Bar,0.5,0.68,0.28,0.39
Nastly Honey Peanut-Butter Wafers,0.85,0.61,0.57,0.33
Nastly Sour Bittersweet Spearmint Velvet,0.62,0.79,0.18,0.16
Billy Bonker's Tangy Indulgent Chocolate Lollipops,0.79,0.87,0.08,0.8
Nastly Tangy Sinful Caramel Nonpariels,0.94,0.74,0.03,0.3
Billy Bonker's Tangy Cheese Peanut-Butter Mints,0.02,0.93,0.44,0.38
Good Ivan's Cool Dark Fruit Jawbreakers,0.31,0.12,0.12,0.93
Good Ivan's Tangy Bitter Chocolate Coated Fudge,0.23,0.99,0.39,0.1
Good Ivan's Sour Honey Peanut-Butter Candy Sticks,0.87,0.89,0.33,0.93
Nastly Bittersweet Walnut Nonpariels,0.43,0.63,0.97,0.65
Hearsay Salted Peanut-Butter Velvet,0.21,0.63,0.49,0.01
Billy Bonker's Tart Bitter Cashew Velvet,0.15,0.83,0.78,0.18
Good Ivan's Sinful Chocolate Mints,0.73,0.65,0.24,0.39
Billy Bonker's Tangy Dark Chocolate Jawbreakers,0.68,0.86,0.01,0.91
Good Ivan's Semisweet Almond Velvet,0.45,0.38,0.79,0.29
Billy Bonker's Luxurious Salted Nut Nonpariels,0.03,0.21,0.83,0.41
Nastly Dark Chocolate Coated Lollipops,0.61,0.65,0.35,0.99
Hearsay Cool Dark Nugat-Filled Candy Sticks,0.52,0.21,0.56,0.85
Good Ivan's Tart Semisweet Nugat-Filled Candy Sticks,0.51,0.78,0.46,0.76
Nastly Honey Caramel Fudge,0.99,0.32,0.21,0.25
Billy Bonker's Sinful Spearmint Wafers,0.95,0.56,0.07,0.33
Hearsay Salted Peanut-Butter Chews,0.15,0.43,0.56,0.12
Billy Bonker's Luxurious Bittersweet Spearmint Fudge,0.45,0.04,0.12,0.11
Good Ivan's Tart Indulgent Nut Mints,0.76,0.87,0.92,0.31
Good Ivan's Cool Bitter Nugat-Filled Lollipops,0.19,0.15,0.38,0.99
Hearsay Tangy Indulgent Caramel Fudge,0.77,0.84,0.08,0.28
Billy Bonker's Honey Peanut-Butter Bar,0.82,0.64,0.38,0.34
Hearsay Bittersweet Peanut Chews,0.35,0.37,0.71,0.17
Billy Bonker's Honey Chocolate Velvet,0.78,0.41,0.23,0.1
Good Ivan's Tart Indulgent Cashew Wafers,0.91,0.79,0.94,0.42
Nastly Cool Semisweet Wintergreen Mints,0.38,0.11,0.21,0.68
Billy Bonker's Salted Chocolate Coated Candy Sticks,0.01,0.69,0.64,0.93
Billy Bonker's Luxurious Sinful Peanut-Butter Wafers,0.79,0.21,0.32,0.36
Billy Bonker's Bittersweet Almond Velvet,0.5,0.31,0.96,0.23
Nastly Cool Dark Peanut-Butter Bar,0.59,0.27,0.44,0.39
Billy Bonker's Bitter Caramel Bar,0.14,0.48,0.02,0.63
Nastly Tangy Cheese Fruit Nonpariels,0.22,0.83,0.1,0.64
Nastly Bittersweet Fruit Lollipops,0.3,0.49,0.02,0.8
Nastly Luxurious Honey Wintergreen Mints,0.8,0.19,0.03,0.43
Billy Bonker's Cheese Peanut-Butter Candy Sticks,0.19,0.56,0.34,0.84
Hearsay Tart Bitter Peanut-Butter Velvet,0.05,0.99,0.54,0.03
Good Ivan's Cheese Cashew Fudge,0,0.51,0.82,0.03
Good Ivan's Refreshingly Dark Fruit Candy Sticks,0.44,0.03,0,0.71
Good Ivan's Semisweet Almond Nonpariels,0.61,0.4,0.73,0.33
Hearsay Bitter Almond Lollipops,0.17,0.32,0.75,0.83
Billy Bonker's Sour Indulgent Nugat-Filled Wafers,0.91,0.95,0.41,0.63
Good Ivan's Sour Cheese Nut Chews,0.2,0.74,0.84,0.18
Billy Bonker's Cool Indulgent Walnut Lollipops,0.75,0.2,0.82,0.95
Good Ivan's Refreshingly Bittersweet Walnut Candy Sticks,0.36,0.24,0.99,0.88
Good Ivan's Bittersweet Wintergreen Mints,0.63,0.61,0.29,0.66
Good Ivan's Salted Nugat-Filled Lollipops,0.02,0.6,0.35,0.97
Nastly Luxurious Sinful Nugat-Filled Bar,0.81,0.06,0.33,0.64
Hearsay Sour Dark Chocolate Coated Bar,0.49,0.78,0.32,0.49
Billy Bonker's Bittersweet Peanut-Butter Velvet,0.32,0.66,0.69,0.08
Good Ivan's Refreshingly Dark Peanut Nonpariels,0.34,0.14,0.82,0.36
Nastly Sinful Chocolate Coated Mints,0.96,0.34,0.53,0.62
Nastly Refreshingly Bitter Chocolate Coated Fudge,0.29,0.19,0.32,0.11
Good Ivan's Tangy Bittersweet Nugat-Filled Bar,0.57,0.74,0.3,0.68
Hearsay Tart Sinful Chocolate Wafers,0.83,0.95,0.25,0.6
Billy Bonker's Tangy Cheese Wintergreen Bar,0.13,0.86,0.2,0.42
Good Ivan's Tart Semisweet Peanut-Butter Candy Sticks,0.34,0.86,0.5,0.89
Billy Bonker's Semisweet Nugat-Filled Bar,0.55,0.38,0.67,0.4
Nastly Bittersweet Chocolate Wafers,0.47,0.63,0.18,0.33
Good Ivan's Luxurious Bittersweet Peanut-Butter Wafers,0.39,0.17,0.45,0.54
Billy Bonker's Cool Dark Walnut Mints,0.63,0.09,0.91,0.35
Hearsay Tart Bittersweet Chocolate Coated Fudge,0.32,0.82,0.35,0.19
Billy Bonker's Tart Cheese Chocolate Coated Candy Sticks,0.24,0.86,0.41,0.84
Billy Bonker's Semisweet Spearmint Fudge,0.7,0.3,0.01,0.02
Nastly Tangy Indulgent Nugat-Filled Bar,0.76,0.99,0.32,0.68
Billy Bonker's Dark Fruit Clusters,0.33,0.45,0.26,0.73
Nastly Indulgent Chocolate Coated Fudge,0.8,0.43,0.39,0.19
Hearsay Cheese Nugat-Filled Mints,0.02,0.39,0.68,0.69
Billy Bonker's Cheese Spearmint Bar,0.29,0.44,0.04,0.5
Hearsay Sinful Nugat-Filled Mints,0.88,0.39,0.34,0.51
Good Ivan's Bittersweet Spearmint Nonpariels,0.52,0.58,0.13,0.51
Nastly Luxurious Dark Peanut-Butter Candy Sticks,0.61,0.05,0.64,0.77
Good Ivan's Tart Semisweet Chocolate Nonpariels,0.34,0.75,0.2,0.58
Hearsay Luxurious Dark Almond Clusters,0.65,0.02,0.92,0.99
Hearsay Bittersweet Spearmint Wafers,0.63,0.59,0.14,0.34
Hearsay Tart Indulgent Fruit Clusters,0.94,0.85,0.06,0.86
Nastly Tart Salted Chocolate Coated Velvet,0.15,0.77,0.69,0.29
Good Ivan's Honey Nugat-Filled Wafers,0.85,0.33,0.43,0.45
Billy Bonker's Sour Bittersweet Nugat-Filled Fudge,0.36,0.82,0.51,0.27
Good Ivan's Semisweet Peanut Nonpariels,0.47,0.6,0.8,0.46
Nastly Bitter Peanut-Butter Candy Sticks,0.26,0.57,0.67,0.89
Hearsay Cool Indulgent Nugat-Filled Nonpariels,0.71,0.06,0.46,0.42
Good Ivan's Refreshingly Indulgent Chocolate Coated Jawbreakers,0.72,0.2,0.62,0.81
Good Ivan's Tangy Semisweet Wintergreen Nonpariels,0.51,0.99,0.04,0.63
Billy Bonker's Sinful Peanut-Butter Lollipops,1,0.67,0.39,0.83
Nastly Refreshingly Bittersweet Peanut-Butter Fudge,0.4,0.02,0.69,0.23
Hearsay Semisweet Walnut Velvet,0.47,0.66,0.78,0.2
Good Ivan's Bittersweet Cashew Clusters,0.53,0.36,0.79,0.79
Billy Bonker's Sinful Caramel Wafers,0.89,0.54,0.03,0.38
Hearsay Cool Indulgent Peanut-Butter Jawbreakers,0.99,0.02,0.38,0.8
Billy Bonker's Sour Sinful Spearmint Bar,0.86,0.79,0,0.63
Good Ivan's Tangy Indulgent Cashew Bar,0.84,0.84,0.77,0.4
Billy Bonker's Luxurious Semisweet Nugat-Filled Candy Sticks,0.37,0.24,0.66,0.76
Billy Bonker's Sour Honey Nugat-Filled Wafers,0.82,0.91,0.69,0.37
Nastly Semisweet Cashew Lollipops,0.35,0.32,0.99,0.73
Billy Bonker's Sinful Chocolate Chews,0.77,0.33,0.07,0.17
Hearsay Refreshingly Bittersweet Nugat-Filled Lollipops,0.6,0.29,0.66,0.81
Billy Bonker's Sinful Caramel Nonpariels,0.78,0.45,0.24,0.36
Billy Bonker's Sour Honey Wintergreen Nonpariels,0.93,0.97,0.28,0.7
Nastly Semisweet Peanut Wafers,0.33,0.35,0.75,0.34
Hearsay Bittersweet Peanut-Butter Candy Sticks,0.52,0.32,0.64,0.88
Hearsay Tangy Honey Peanut Velvet,1,0.89,0.89,0.24
Billy Bonker's Luxurious Sinful Chocolate Coated Nonpariels,0.85,0.02,0.7,0.64
Good Ivan's Indulgent Nut Nonpariels,0.88,0.61,0.86,0.41
Billy Bonker's Luxurious Honey Peanut-Butter Chews,0.9,0.28,0.63,0.16
Good Ivan's Cheese Chocolate Coated Mints,0.14,0.4,0.42,0.42
Good Ivan's Bittersweet Peanut Mints,0.37,0.42,0.73,0.53
Nastly Luxurious Salted Peanut Mints,0.25,0.09,0.98,0.38
Billy Bonker's Cheese Nut Candy Sticks,0.25,0.54,0.83,0.75
Nastly Refreshingly Bittersweet Nut Nonpariels,0.45,0.2,0.76,0.68
Nastly Dark Almond Clusters,0.37,0.65,0.93,0.85
Hearsay Cool Semisweet Peanut-Butter Nonpariels,0.69,0.13,0.55,0.47
Nastly Semisweet Peanut-Butter Candy Sticks,0.34,0.59,0.62,0.96
Hearsay Semisweet Nut Jawbreakers,0.34,0.31,1,0.84
Nastly Indulgent Fruit Lollipops,0.98,0.67,0.11,0.73
Nastly Dark Fruit Chews,0.6,0.66,0.02,0.15
Billy Bonker's Sour Dark Peanut-Butter Bar,0.41,0.79,0.35,0.58
Billy Bonker's Luxurious Indulgent Nugat-Filled Nonpariels,0.79,0.2,0.54,0.7
Nastly Tangy Cheese Peanut Nonpariels,0.1,0.9,0.83,0.39
Good Ivan's Salted Nut Lollipops,0.04,0.39,0.97,0.93
Hearsay Bitter Nugat-Filled Fudge,0.27,0.69,0.56,0.16
Nastly Sour Salted Chocolate Coated Chews,0.08,0.73,0.51,0.02
Hearsay Tart Cheese Fruit Bar,0.28,0.8,0.21,0.36
Nastly Tart Dark Peanut-Butter Chews,0.35,0.8,0.52,0.18
Good Ivan's Tangy Bitter Nugat-Filled Velvet,0.08,0.78,0.4,0.03
Nastly Refreshingly Indulgent Fruit Chews,0.78,0.26,0.28,0.08
Billy Bonker's Bittersweet Cashew Jawbreakers,0.66,0.37,0.75,0.71
Nastly Bittersweet Almond Jawbreakers,0.31,0.56,0.89,0.92
Billy Bonker's Luxurious Indulgent Nugat-Filled Bar,0.77,0.28,0.6,0.68
Nastly Sour Honey Nugat-Filled Clusters,0.71,0.72,0.39,0.75
Hearsay Luxurious Dark Peanut-Butter Lollipops,0.56,0.16,0.7,0.76
Nastly Dark Spearmint Wafers,0.53,0.63,0.15,0.41
Good Ivan's Refreshingly Honey Chocolate Candy Sticks,0.92,0.21,0.18,1
Good Ivan's Semisweet Walnut Velvet,0.52,0.34,0.86,0.04
Nastly Dark Walnut Candy Sticks,0.42,0.56,0.71,0.95
Nastly Sour Dark Chocolate Coated Lollipops,0.4,0.95,0.37,0.85
Good Ivan's Luxurious Bittersweet Almond Nonpariels,0.5,0.19,0.95,0.37
Hearsay Tart Sinful Chocolate Candy Sticks,0.88,0.72,0.11,0.91
Nastly Dark Nugat-Filled Wafers,0.48,0.47,0.64,0.66
Nastly Tangy Sinful Nut Fudge,0.91,0.86,0.96,0.28
Hearsay Luxurious Bittersweet Walnut Chews,0.35,0.23,0.84,0.04
Hearsay Honey Caramel Chews,0.96,0.37,0.27,0.05
Good Ivan's Cool Cheese Chocolate Coated Wafers,0.23,0.27,0.62,0.32
Nastly Honey Wintergreen Nonpariels,0.86,0.68,0.06,0.67
Good Ivan's Cool Bittersweet Walnut Bar,0.68,0.24,0.79,0.62
Hearsay Sour Dark Nugat-Filled Bar,0.42,0.97,0.53,0.56
Hearsay Luxurious Indulgent Chocolate Coated Nonpariels,0.94,0.06,0.58,0.37
Hearsay Tangy Bittersweet Caramel Clusters,0.46,0.84,0.2,0.73
Hearsay Refreshingly Bittersweet Almond Velvet,0.31,0.27,0.8,0.02
Nastly Luxurious Bittersweet Chocolate Coated Bar,0.6,0.15,0.68,0.36
Billy Bonker's Cool Cheese Peanut-Butter Chews,0.16,0.14,0.34,0
Nastly Sour Cheese Walnut Velvet,0.12,0.76,0.91,0.03
Good Ivan's Luxurious Sinful Nugat-Filled Bar,0.78,0.08,0.58,0.4
Good Ivan's Refreshingly Bittersweet Nut Wafers,0.59,0.2,0.78,0.42
Hearsay Sour Semisweet Almond Mints,0.69,0.94,0.99,0.32
Billy Bonker's Cheese Chocolate Bar,0.02,0.52,0.01,0.43
Billy Bonker's Tangy Bitter Spearmint Velvet,0.29,0.85,0.22,0.13
Hearsay Dark Spearmint Velvet,0.69,0.36,0.29,0.11
Nastly Refreshingly Semisweet Almond Velvet,0.46,0.22,0.92,0.11
Billy Bonker's Luxurious Semisweet Chocolate Coated Nonpariels,0.52,0.25,0.69,0.4
Billy Bonker's Luxurious Dark Walnut Velvet,0.56,0.01,0.76,0.04
Good Ivan's Semisweet Almond Fudge,0.58,0.33,0.96,0.14
Billy Bonker's Cool Bittersweet Chocolate Coated Candy Sticks,0.51,0.17,0.44,0.88
Hearsay Tart Indulgent Wintergreen Jawbreakers,0.76,0.73,0.02,0.92
Billy Bonker's Tart Indulgent Nut Mints,0.75,0.89,0.71,0.67
Hearsay Indulgent Nugat-Filled Jawbreakers,0.88,0.56,0.3,0.72
Nastly Tangy Salted Peanut-Butter Bar,0.19,0.84,0.34,0.58
Billy Bonker's Semisweet Peanut-Butter Mints,0.43,0.43,0.67,0.47
Nastly Cheese Nugat-Filled Wafers,0.06,0.55,0.33,0.42
Good Ivan's Indulgent Fruit Fudge,0.95,0.55,0.1,0.21
Billy Bonker's Cool Dark Nugat-Filled Mints,0.64,0.22,0.37,0.51
Hearsay Refreshingly Indulgent Peanut-Butter Mints,0.93,0.1,0.32,0.61
Billy Bonker's Dark Peanut Wafers,0.7,0.64,0.84,0.49
Hearsay Indulgent Chocolate Coated Bar,0.89,0.6,0.32,0.65
Hearsay Sinful Peanut-Butter Clusters,0.82,0.42,0.69,0.97
Good Ivan's Dark Chocolate Coated Jawbreakers,0.61,0.7,0.66,0.78
Billy Bonker's Refreshingly Bittersweet Nut Velvet,0.34,0.12,0.78,0.26
Good Ivan's Sour Bittersweet Chocolate Coated Bar,0.42,0.97,0.31,0.68
Good Ivan's Sour Salted Chocolate Coated Wafers,0.1,0.9,0.43,0.63
Hearsay Tangy Semisweet Nugat-Filled Velvet,0.33,0.75,0.44,0.05
Nastly Luxurious Honey Peanut-Butter Bar,0.71,0.2,0.41,0.49
Good Ivan's Sour Semisweet Caramel Mints,0.48,0.84,0.28,0.6
Good Ivan's Semisweet Caramel Nonpariels,0.43,0.48,0.17,0.46
Nastly Tangy Honey Caramel Mints,0.74,0.81,0.05,0.7
Nastly Cool Bittersweet Cashew Jawbreakers,0.57,0.14,0.89,0.86
Nastly Cool Indulgent Nugat-Filled Bar,0.95,0.17,0.3,0.68
Good Ivan's Cool Semisweet Peanut Jawbreakers,0.61,0.29,0.85,0.96
Good Ivan's Bitter Almond Clusters,0.26,0.4,0.82,0.96
Billy Bonker's Sinful Chocolate Coated Mints,0.88,0.36,0.54,0.33
Billy Bonker's Sinful Nugat-Filled Clusters,0.73,0.7,0.37,0.98
Nastly Honey Chocolate Coated Mints,0.77,0.59,0.48,0.43
Billy Bonker's Bittersweet Caramel Mints,0.56,0.7,0.14,0.46
Billy Bonker's Indulgent Spearmint Velvet,0.8,0.57,0.18,0.2
Billy Bonker's Refreshingly Dark Nut Chews,0.63,0.09,0.76,0.02
Hearsay Tangy Dark Nugat-Filled Mints,0.35,0.85,0.3,0.31
Good Ivan's Tangy Dark Chocolate Wafers,0.64,0.89,0.29,0.32
Hearsay Tart Dark Spearmint Wafers,0.57,0.89,0.09,0.64
Nastly Tart Honey Spearmint Lollipops,0.88,0.86,0.13,0.98
Nastly Honey Walnut Candy Sticks,0.81,0.59,0.95,0.95
Nastly Luxurious Semisweet Nugat-Filled Nonpariels,0.33,0.2,0.54,0.32
