# kdata file
# Format: Name, Sweetness, Sourness, Nuttiness, Texture
Hearsay Tart Sinful Wintergreen Bar,0.9,0.99,0.29,0.57
Hearsay Sinful Walnut Mints,0.81,0.31,0.92,0.48
Billy Bonker's Tangy Dark Fruit Nonpariels,0.44,0.76,0.07,0.56
Billy Bonker's Bittersweet Wintergreen Clusters,0.64,0.34,0.29,0.86
Good Ivan's Bitter Almond Candy Sticks,0.18,0.56,0.99,0.83
Hearsay Refreshingly Dark Peanut-Butter Velvet,0.56,0.13,0.48,0.06
Hearsay Luxurious Sinful Cashew Lollipops,0.97,0.16,0.9,0.87
Billy Bonker's Sour Honey Wintergreen Mints,0.76,0.77,0.17,0.42
Good Ivan's Sour Bittersweet Chocolate Coated Nonpariels,0.32,0.84,0.43,0.35
Hearsay Luxurious Dark Nugat-Filled Mints,0.65,0.14,0.39,0.4
Nastly Tangy Honey Fruit Lollipops,0.97,0.99,0.04,0.72
Good Ivan's Sinful Peanut-Butter Lollipops,0.87,0.52,0.3,0.72
Good Ivan's Tangy Dark Cashew Mints,0.54,0.92,0.95,0.47
Nastly Tangy Bittersweet Chocolate Coated Clusters,0.38,0.9,0.54,0.79
Billy Bonker's Tart Dark Spearmint Nonpariels,0.39,0.78,0.02,0.47
Hearsay Bittersweet Walnut Lollipops,0.35,0.37,0.95,0.8
Good Ivan's Tangy Bittersweet Almond Mints,0.63,0.91,0.93,0.35
Billy Bonker's Tart Dark Cashew Wafers,0.42,0.79,0.94,0.47
Good Ivan's Tart Bitter Chocolate Coated Wafers,0.25,0.86,0.31,0.42
Hearsay Cool Indulgent Caramel Chews,0.74,0.15,0.03,0.21
Billy Bonker's Semisweet Chocolate Coated Wafers,0.65,0.68,0.65,0.42
Billy Bonker's Tangy Bittersweet Chocolate Coated Mints,0.45,0.93,0.47,0.47
Nastly Honey Peanut-Butter Chews,0.81,0.43,0.33,0.04
Good Ivan's Bittersweet Nugat-Filled Velvet,0.7,0.37,0.31,0.06
Good Ivan's Refreshingly Semisweet Peanut-Butter Chews,0.34,0.07,0.45,0.18
Billy Bonker's Cool Sinful Nugat-Filled Wafers,0.9,0.17,0.4,0.61
Good Ivan's Cool Dark Nugat-Filled Jawbreakers,0.31,0.28,0.67,0.95
Hearsay Sour Dark Peanut Nonpariels,0.63,0.78,0.97,0.63
Nastly Sour Salted Wintergreen Chews,0.07,0.71,0.27,0.28
Nastly Luxurious Indulgent Caramel Clusters,0.87,0.09,0.19,0.76
Hearsay Cool Salted Chocolate Coated Velvet,0.25,0.06,0.62,0.26
Hearsay Tangy Salted Nugat-Filled Wafers,0.13,0.86,0.67,0.47
Hearsay Indulgent Nugat-Filled Mints,0.77,0.39,0.48,0.53
Hearsay Salted Nugat-Filled Mints,0.01,0.68,0.4,0.6
Hearsay Luxurious Honey Peanut-Butter Bar,0.81,0.2,0.7,0.45
Billy Bonker's Dark Cashew Lollipops,0.38,0.33,1,0.79
Nastly Sour Bittersweet Chocolate Nonpariels,0.69,0.78,0.2,0.46
Hearsay Dark Chocolate Coated Wafers,0.57,0.65,0.66,0.68
Hearsay Sour Indulgent Fruit Lollipops,0.96,0.81,0.25,0.93
Nastly Tangy Cheese Caramel Lollipops,0.21,0.71,0.23,0.84
Hearsay Tangy Dark Nugat-Filled Nonpariels,0.36,0.99,0.33,0.6
Nastly Luxurious Cheese Fruit Candy Sticks,0.07,0.02,0.05,0.75
Billy Bonker's Indulgent Peanut-Butter Wafers,0.94,0.31,0.61,0.63
Good Ivan's Refreshingly Bittersweet Chocolate Coated Candy Sticks,0.65,0.25,0.62,0.73
Nastly Luxurious Semisweet Peanut Velvet,0.39,0.07,0.96,0.03
Billy Bonker's Tart Honey Chocolate Candy Sticks,0.91,0.79,0,0.99
Good Ivan's Cool Semisweet Chocolate Coated Chews,0.65,0.06,0.39,0.06
Good Ivan's Cool Salted Almond Mints,0.05,0.17,0.9,0.54
Good Ivan's Sinful Chocolate Coated Fudge,0.95,0.56,0.46,0.11
Billy Bonker's Refreshingly Semisweet Chocolate Coated Mints,0.48,0.28,0.65,0.33
Billy Bonker's Bitter Wintergreen Chews,0.16,0.63,0.16,0.05
Good Ivan's Tangy Semisweet Chocolate Wafers,0.68,0.78,0.28,0.46
Nastly Luxurious Bittersweet Wintergreen Clusters,0.43,0.14,0.2,0.8
Billy Bonker's Cool Semisweet Chocolate Bar,0.46,0.21,0.2,0.68
Hearsay Sour Sinful Spearmint Candy Sticks,0.82,0.87,0.19,0.92
Billy Bonker's Bitter Chocolate Coated Jawbreakers,0.13,0.36,0.61,0.78
Nastly Tangy Indulgent Peanut-Butter Mints,0.83,0.98,0.38,0.7
Hearsay Tangy Sinful Nugat-Filled Clusters,0.79,0.82,0.35,0.83
Billy Bonker's Dark Nugat-Filled Lollipops,0.54,0.4,0.57,0.89
Hearsay Dark Nut Bar,0.35,0.51,0.86,0.58
Good Ivan's Bittersweet Cashew Lollipops,0.6,0.32,0.96,0.77
Hearsay Tangy Salted Nugat-Filled Chews,0.05,0.88,0.39,0.25
Billy Bonker's Salted Wintergreen Jawbreakers,0.18,0.58,0.17,0.77
Nastly Luxurious Salted Spearmint Velvet,0.04,0.09,0.24,0.04
Nastly Luxurious Dark Nugat-Filled Mints,0.62,0.24,0.38,0.39
Nastly Sour Sinful Chocolate Wafers,0.95,0.96,0.11,0.62
Good Ivan's Cheese Wintergreen Chews,0.17,0.4,0.26,0.07
Good Ivan's Semisweet Almond Candy Sticks,0.34,0.47,0.9,0.93
Hearsay Tart Bitter Nugat-Filled Chews,0.09,0.94,0.67,0.17
Good Ivan's Cool Dark Peanut-Butter Clusters,0.5,0.13,0.41,0.77
Billy Bonker's Honey Fruit Wafers,0.91,0.41,0.16,0.38
Nastly Semisweet Wintergreen Velvet,0.7,0.35,0.2,0.06
Good Ivan's Bitter Nut Chews,0.08,0.47,0.76,0.06
Hearsay Bitter Walnut Lollipops,0.15,0.61,0.96,0.78
Nastly Tangy Honey Peanut-Butter Mints,0.86,0.79,0.7,0.31
Nastly Tart Sinful Almond Mints,0.8,0.8,0.84,0.5
Billy Bonker's Refreshingly Dark Cashew Bar,0.35,0.14,0.83,0.33
Billy Bonker's Cool Sinful Nugat-Filled Chews,0.93,0.23,0.5,0.23
Nastly Luxurious Bittersweet Almond Mints,0.42,0.08,0.89,0.67
Nastly Sour Semisweet Cashew Mints,0.66,0.92,0.98,0.58
Nastly Tangy Dark Fruit Wafers,0.42,0.87,0.27,0.64
Nastly Tart Sinful Cashew Mints,0.93,0.97,0.74,0.32
Nastly Tart Semisweet Walnut Wafers,0.66,0.85,0.89,0.38
Good Ivan's Sour Cheese Spearmint Fudge,0.22,0.98,0.29,0.25
Hearsay Indulgent Chocolate Coated Mints,0.72,0.43,0.68,0.3
Hearsay Refreshingly Semisweet Nut Wafers,0.51,0.28,1,0.53
Billy Bonker's Bittersweet Caramel Lollipops,0.59,0.3,0.21,0.8
Nastly Dark Chocolate Lollipops,0.61,0.65,0.13,0.96
Hearsay Luxurious Dark Nut Nonpariels,0.66,0.26,0.76,0.64
Nastly Dark Walnut Wafers,0.68,0.6,0.84,0.69
Good Ivan's Tart Sinful Caramel Clusters,0.73,0.87,0.21,0.96
Billy Bonker's Honey Spearmint Wafers,0.84,0.39,0.29,0.7
Good Ivan's Honey Chocolate Coated Nonpariels,0.76,0.58,0.5,0.64
Hearsay Tangy Semisweet Walnut Mints,0.41,0.81,0.78,0.35
Hearsay Semisweet Peanut-Butter Velvet,0.4,0.46,0.61,0.24
Billy Bonker's Refreshingly Cheese Caramel Wafers,0.04,0.17,0.19,0.46
Hearsay Cool Semisweet Peanut Chews,0.54,0.14,0.92,0.29
Good Ivan's Tart Bittersweet Chocolate Jawbreakers,0.65,0.94,0.19,0.91
Good Ivan's Sinful Fruit Chews,0.95,0.41,0.1,0.07
Good Ivan's Sinful Nugat-Filled Velvet,0.83,0.4,0.36,0.02
Billy Bonker's Salted Fruit Jawbreakers,0.08,0.49,0.12,0.88
Hearsay Luxurious Semisweet Nugat-Filled Mints,0.62,0.02,0.32,0.62
Billy Bonker's Sour Semisweet Nut Mints,0.66,0.74,0.96,0.47
Good Ivan's Dark Peanut Candy Sticks,0.51,0.7,0.95,0.82
Good Ivan's Indulgent Fruit Velvet,0.89,0.35,0.03,0.14
Hearsay Sour Sinful Nugat-Filled Bar,0.91,0.98,0.38,0.37
Hearsay Tart Bittersweet Chocolate Mints,0.37,0.84,0.26,0.44
Hearsay Sinful Spearmint Wafers,0.81,0.53,0.05,0.39
Nastly Sinful Fruit Velvet,0.87,0.46,0.1,0.18
Good Ivan's Sour Sinful Cashew Nonpariels,0.92,0.93,0.74,0.5
Nastly Sour Dark Chocolate Coated Velvet,0.33,0.75,0.44,0.17
Billy Bonker's Cheese Nugat-Filled Chews,0.05,0.66,0.54,0.19
Good Ivan's Salted Nut Jawbreakers,0.18,0.34,0.85,0.87
Good Ivan's Refreshingly Cheese Nugat-Filled Bar,0.25,0.26,0.5,0.69
Good Ivan's Tangy Indulgent Wintergreen Wafers,0.83,0.89,0.16,0.5
Hearsay Sinful Caramel Lollipops,0.78,0.51,0.03,0.83
Billy Bonker's Tangy Semisweet Chocolate Nonpariels,0.42,0.95,0.17,0.47
Hearsay Sour Honey Walnut Mints,0.71,0.74,0.75,0.45
Good Ivan's Bitter Peanut-Butter Clusters,0.16,0.59,0.61,0.8
Hearsay Tangy Dark Spearmint Velvet,0.49,0.95,0.11,0.14
Billy Bonker's Semisweet Nugat-Filled Wafers,0.37,0.67,0.32,0.34
Nastly Honey Chocolate Fudge,0.89,0.4,0.25,0.23
Hearsay Bittersweet Walnut Fudge,0.43,0.31,0.72,0.12
