# kdata file
# Format: x-value, y-value, z-value
0.7389, 0.1522, 0.8589
0.8355, 0.9068, 0.1528
0.3303, 0.8702, 0.8138
0.7867, 0.1035, 0.8583
0.3208, 0.175, 0.4387
0.7358, 0.8271, 0.1681
0.4456, 0.1874, 0.678
0.346, 0.1734, 0.4204
0.752, 0.1969, 0.8997
0.8221, 0.8095, 0.1506
0.8401, 0.527, 0.2199
0.6798, 0.8131, 0.5428
0.3541, 0.5936, 0.517
0.4013, 0.1617, 0.4279
0.2665, 0.9084, 0.6899
0.3413, 0.5505, 0.5496
0.7816, 0.8319, 0.1309
0.7205, 0.1437, 0.9016
0.6402, 0.0823, 0.8675
0.4584, 0.1892, 0.6538
0.4309, 0.1905, 0.3803
0.5051, 0.1094, 0.7129
0.3317, 0.1708, 0.4559
0.8313, 0.8105, 0.1614
0.345, 0.578, 0.4953
0.3454, 0.868, 0.8335
0.76, 0.0864, 0.8894
0.3603, 0.8469, 0.9111
0.6994, 0.1793, 0.9539
0.2431, 0.8203, 0.801
0.6979, 0.8084, 0.4755
0.8124, 0.1114, 0.8978
0.7835, 0.8629, 0.1186
0.7273, 0.2789, 0.8206
0.2323, 0.8898, 0.7379
0.4306, 0.1689, 0.6285
0.6814, 0.8469, 0.5174
0.2707, 0.8718, 0.7355
0.7666, 0.277, 0.8879
0.7165, 0.885, 0.1705
0.4124, 0.181, 0.6476
0.7343, 0.1463, 0.9403
0.3881, 0.1659, 0.3799
0.3035, 0.8777, 0.7796
0.3022, 0.8051, 0.8078
0.785, 0.8709, 0.1392
0.4148, 0.1534, 0.6754
0.212, 0.9424, 0.7255
0.3192, 0.163, 0.3978
0.7364, 0.0928, 0.8294
0.7386, 0.8773, 0.5167
0.3852, 0.2233, 0.3274
0.3308, 0.9495, 0.8245
0.3672, 0.2078, 0.3662
0.3153, 0.6156, 0.5695
0.7833, 0.5232, 0.1738
0.8279, 0.8555, 0.0956
0.3953, 0.1453, 0.7419
0.7591, 0.8039, 0.4955
0.6477, 0.2343, 0.8685
0.7473, 0.1191, 0.877
0.3234, 0.2173, 0.4212
0.2964, 0.9003, 0.6525
0.6273, 0.2157, 0.8472
0.3126, 0.9056, 0.6537
0.8124, 0.8333, 0.1337
0.7356, 0.2163, 0.8358
0.3102, 0.8802, 0.8048
0.8543, 0.4789, 0.2498
0.7018, 0.1992, 0.926
0.3198, 0.8744, 0.7326
0.3141, 0.8753, 0.8461
0.3591, 0.8919, 0.8097
0.4072, 0.236, 0.6337
0.7963, 0.858, 0.5083
0.3333, 0.8074, 0.8358
0.6272, 0.7388, 0.5673
0.1695, 0.8528, 0.718
0.3508, 0.1918, 0.4503
0.3491, 0.5927, 0.4837
0.3891, 0.2105, 0.4648
0.695, 0.1124, 0.8704
0.316, 0.9157, 0.8354
0.3691, 0.6248, 0.5047
0.8037, 0.0743, 0.8696
0.6499, 0.8287, 0.4373
0.3808, 0.5777, 0.54
0.7296, 0.534, 0.2411
0.3352, 0.1749, 0.6285
0.827, 0.541, 0.2314
0.3686, 0.8796, 0.8329
0.7291, 0.1464, 0.8686
0.38, 0.8682, 0.8428
0.3274, 0.1807, 0.4415
0.7172, 0.1432, 0.8851
0.7107, 0.1255, 0.9116
0.8515, 0.4621, 0.2803
0.2546, 0.8767, 0.582
0.1732, 0.8865, 0.6494
0.7973, 0.479, 0.335
0.4578, 0.1702, 0.7059
0.7706, 0.21, 0.8409
0.7979, 0.5443, 0.1935
0.8345, 0.5352, 0.256
0.2942, 0.9323, 0.6812
0.7199, 0.237, 0.9113
0.3558, 0.8499, 0.8626
0.2647, 0.8974, 0.6951
0.3839, 0.6742, 0.4743
0.8164, 0.8105, 0.1379
0.407, 0.582, 0.4826
0.9123, 0.5072, 0.2608
0.4089, 0.1411, 0.5964
0.741, 0.868, 0.0993
0.1947, 0.8755, 0.7285
0.7874, 0.7867, 0.1298
0.7228, 0.8655, 0.1088
0.758, 0.7721, 0.5261
0.3902, 0.6206, 0.4488
0.4024, 0.2151, 0.4174
0.4262, 0.1904, 0.395
0.7438, 0.8926, 0.021
0.8793, 0.5593, 0.2086
0.4003, 0.1795, 0.4115
0.7127, 0.8477, 0.162
0.7521, 0.1652, 0.8605
0.7488, 0.2381, 0.8178
0.7366, 0.1521, 0.8997
0.4216, 0.1884, 0.6654
0.3326, 0.8795, 0.8391
0.384, 0.268, 0.3868
0.8516, 0.4997, 0.2226
0.6781, 0.247, 0.9097
0.7186, 0.1729, 0.756
0.8036, 0.8432, 0.069
0.4125, 0.5537, 0.5464
0.7027, 0.7677, 0.5124
0.7091, 0.1024, 0.9137
0.7441, 0.2002, 0.9534
0.2547, 0.9226, 0.7057
0.7897, 0.8736, 0.1532
0.4554, 0.1285, 0.6728
0.383, 0.7767, 0.8354
0.3459, 0.7899, 0.8487
0.3257, 0.5704, 0.4826
0.4391, 0.1117, 0.6769
0.783, 0.8067, 0.1551
0.749, 0.0931, 0.8837
0.7244, 0.1406, 0.9354
0.8105, 0.125, 0.8999
0.6466, 0.8399, 0.5024
0.678, 0.829, 0.5455
0.3157, 0.7918, 0.8544
0.4223, 0.1741, 0.6654
0.7157, 0.0899, 0.8673
0.4312, 0.1846, 0.394
0.4295, 0.5312, 0.4396
0.3495, 0.1681, 0.5953
0.7753, 0.2194, 0.8612
0.3926, 0.1728, 0.4462
0.2824, 0.9081, 0.8908
0.7111, 0.2554, 0.8696
0.7266, 0.7753, 0.4735
0.38, 0.6103, 0.4905
0.398, 0.222, 0.3265
0.3609, 0.8268, 0.8266
0.355, 0.771, 0.8147
0.775, 0.1229, 0.8267
0.3351, 0.9079, 0.8183
0.7401, 0.8384, 0.1677
0.7801, 0.8655, 0.1498
0.4193, 0.2114, 0.4462
0.8026, 0.4865, 0.2139
0.7463, 0.1217, 0.8542
0.3592, 0.1605, 0.6886
0.4002, 0.1487, 0.5953
0.2979, 0.8141, 0.7762
0.2749, 0.8122, 0.8622
0.4868, 0.1679, 0.6828
0.3379, 0.8315, 0.7879
0.333, 0.5994, 0.4985
0.3, 0.9121, 0.6851
0.2241, 0.8568, 0.7584
0.3567, 0.1487, 0.6064
0.4608, 0.5431, 0.4769
0.3054, 0.861, 0.8778
0.7775, 0.4914, 0.1649
0.7032, 0.2557, 0.88
0.3317, 0.58, 0.4335
0.372, 0.1474, 0.4268
0.6245, 0.1667, 0.8359
0.7505, 0.7876, 0.1345
0.7666, 0.5574, 0.2767
0.4757, 0.1487, 0.6592
0.2778, 1.0, 0.658
0.2696, 0.8639, 0.8363
0.8072, 0.8314, 0.1257
0.2185, 0.8895, 0.6813
0.387, 0.5906, 0.5497
0.8055, 0.4922, 0.258
0.732, 0.7919, 0.51
0.7359, 0.2765, 0.8012
0.2508, 0.8558, 0.6751
0.3794, 0.5898, 0.5251
0.7093, 0.8338, 0.1474
0.3737, 0.2231, 0.6341
0.2304, 0.8342, 0.6504
0.691, 0.1179, 0.9102
0.2342, 0.9802, 0.7777
0.6476, 0.2181, 0.8935
0.1967, 0.9005, 0.6671
0.7964, 0.9089, 0.1499
0.628, 0.8401, 0.4992
0.6965, 0.9033, 0.2051
0.7278, 0.8671, 0.092
0.3532, 0.2142, 0.3785
0.6849, 0.832, 0.4653
0.289, 0.8214, 0.8816
0.8081, 0.514, 0.1959
0.3286, 0.5649, 0.4914
0.3514, 0.5937, 0.4713
0.3911, 0.1479, 0.6543
0.737, 0.1461, 0.8795
0.6951, 0.7806, 0.4265
0.4808, 0.1463, 0.6626
0.7346, 0.2138, 0.9141
0.7589, 0.802, 0.0636
0.7033, 0.1762, 0.8504
0.3467, 0.1686, 0.3396
0.3767, 0.1937, 0.3194
0.4088, 0.1099, 0.6356
0.6837, 0.074, 0.8424
0.7378, 0.1208, 0.8615
0.7381, 0.1181, 0.8774
0.7357, 0.1911, 0.8608
0.3518, 0.1936, 0.3974
0.7285, 0.2483, 1.0
0.722, 0.8384, 0.5227
0.752, 0.86, 0.1062
0.35, 0.2205, 0.4423
0.7669, 0.5023, 0.1755
0.3391, 0.6121, 0.506
0.6708, 0.8616, 0.4626
0.788, 0.8439, 0.0929
0.4279, 0.1076, 0.6827
0.8891, 0.6205, 0.1253
0.7331, 0.8248, 0.1633
0.7573, 0.8254, 0.0944
0.2367, 0.8518, 0.7194
0.708, 0.8356, 0.5374
0.7533, 0.8675, 0.1209
0.6497, 0.8385, 0.5055
0.4876, 0.1362, 0.7045
0.6751, 0.2083, 0.8727
0.4171, 0.5808, 0.4537
0.7374, 0.1389, 0.8789
0.3492, 0.5642, 0.4553
0.3881, 0.1964, 0.4296
0.3492, 0.214, 0.4508
0.721, 0.7875, 0.4695
0.1774, 0.8848, 0.6418
0.7956, 0.5115, 0.1847
0.8237, 0.5407, 0.2509
0.6917, 0.1, 0.8451
0.709, 0.0836, 0.8822
0.2522, 0.8545, 0.8373
0.3146, 0.8582, 0.6773
0.4393, 0.2387, 0.3893
0.7722, 0.5175, 0.1687
0.6884, 0.2196, 0.8444
0.7243, 0.8589, 0.1421
0.6986, 0.7618, 0.4304
0.6594, 0.8627, 0.5465
0.3933, 0.6146, 0.482
0.7299, 0.8437, 0.4953
0.3771, 0.5466, 0.4547
0.7107, 0.1727, 0.8613
0.7051, 0.0572, 0.8742
0.7601, 0.1445, 0.9009
0.7177, 0.8331, 0.1981
0.7258, 0.4912, 0.2528
0.2792, 0.9276, 0.6353
0.4034, 0.5994, 0.4746
0.834, 0.5325, 0.2062
0.7062, 0.2148, 0.863
0.3459, 0.8422, 0.877
0.3778, 0.167, 0.4567
0.349, 0.2837, 0.4028
0.8298, 0.5037, 0.2182
0.7061, 0.1031, 0.8886
0.2405, 0.9313, 0.7349
0.754, 0.0824, 0.8784
0.778, 0.1461, 0.8543
0.4369, 0.1899, 0.6457
0.4012, 0.1317, 0.5962
0.3888, 0.1536, 0.435
0.7356, 0.107, 0.9053
0.6858, 0.1669, 0.8861
0.7281, 0.148, 0.8853
0.6305, 0.8523, 0.4452
0.3812, 0.6344, 0.483
0.6306, 0.8212, 0.4659
0.6969, 0.8497, 0.4677
0.2969, 0.8718, 0.7141
0.7084, 0.8217, 0.4519
0.2452, 0.8886, 0.6679
0.3699, 0.5664, 0.585
0.3496, 0.2257, 0.4593
0.3283, 0.8102, 0.8844
0.7412, 0.7997, 0.2155
0.8201, 0.5772, 0.2254
0.8142, 0.1186, 0.7564
0.3997, 0.2459, 0.4523
0.6352, 0.7415, 0.4938
0.4629, 0.1738, 0.6599
0.6225, 0.8122, 0.4602
0.3162, 0.8539, 0.8286
0.7392, 0.0833, 0.9368
0.3694, 0.6117, 0.4774
0.4308, 0.6765, 0.5285
0.7133, 0.1909, 0.9298
0.6723, 0.8249, 0.4093
0.3491, 0.7835, 0.8256
0.6756, 0.8302, 0.5319
0.8275, 0.5344, 0.2206
0.2065, 0.8429, 0.8647
0.7406, 0.1066, 0.8662
0.9058, 0.9123, 0.1566
0.7128, 0.8877, 0.1074
0.6535, 0.2039, 0.8999
0.3909, 0.1946, 0.4375
0.5004, 0.1833, 0.6295
0.47, 0.1795, 0.6659
0.7757, 0.174, 0.9566
0.7223, 0.1689, 0.8954
0.7618, 0.7247, 0.155
0.6353, 0.8289, 0.5493
0.2085, 0.9064, 0.6396
0.8002, 0.8335, 0.1355
0.3166, 0.8613, 0.7635
0.758, 0.8888, 0.135
0.4029, 0.285, 0.4294
0.3824, 0.1519, 0.4002
0.721, 0.1306, 0.837
0.3076, 0.8181, 0.6442
0.7662, 0.2527, 0.9278
0.6902, 0.7773, 0.5054
0.7657, 0.5035, 0.2506
0.3597, 0.2046, 0.6521
0.3386, 0.8372, 0.8196
0.782, 0.1361, 0.8346
0.4545, 0.2299, 0.6398
0.8309, 0.4913, 0.2764
0.8726, 0.5303, 0.2186
0.4173, 0.2294, 0.4405
0.7839, 0.0913, 0.8976
0.7186, 0.1461, 0.8476
0.3325, 0.8843, 0.779
0.3382, 0.8667, 0.8502
0.4308, 0.6017, 0.4945
0.3257, 0.6384, 0.5489
0.2893, 0.9586, 0.7399
0.6776, 0.0283, 0.8254
0.6762, 0.8962, 0.5059
0.7184, 0.8528, 0.5069
0.3636, 0.227, 0.4918
0.7914, 0.4864, 0.1913
0.3783, 0.2633, 0.42
0.7164, 0.7765, 0.4466
0.7193, 0.1953, 0.8642
0.3442, 0.5846, 0.4686
0.4531, 0.1769, 0.6479
0.3435, 0.8092, 0.9121
0.7212, 0.0853, 0.8513
0.6944, 0.5609, 0.2483
0.8103, 0.4619, 0.2298
0.7548, 0.132, 0.9213
0.7702, 0.207, 0.9247
0.2424, 0.9311, 0.5835
0.2806, 0.8545, 0.6922
0.7849, 0.4999, 0.2278
0.2704, 0.9411, 0.7393
0.3961, 0.6248, 0.4642
0.3605, 0.5695, 0.5519
0.7931, 0.4779, 0.1904
0.4224, 0.147, 0.7165
0.3836, 0.6097, 0.5443
0.7315, 0.8029, 0.5632
0.4528, 0.2019, 0.4469
0.1555, 0.8848, 0.6633
0.7736, 0.8167, 0.178
0.6427, 0.8779, 0.5366
0.2745, 0.9218, 0.712
0.3878, 0.6625, 0.5736
0.4869, 0.144, 0.4274
0.6516, 0.1221, 0.9459
0.3561, 0.8045, 0.9281
0.7019, 0.87, 0.4099
0.7017, 0.8627, 0.4682
0.3503, 0.5993, 0.5044
0.7661, 0.872, 0.0982
0.3004, 0.8577, 0.7609
0.5034, 0.086, 0.6444
0.3611, 0.6248, 0.4909
0.7845, 0.4691, 0.1867
0.4031, 0.5406, 0.5427
0.6396, 0.7501, 0.432
0.174, 0.8653, 0.6431
0.7056, 0.2303, 0.853
