# kdata file
# Format: x-value, y-value, z-value
0.6471, 0.6943, 0.6987
0.704, 0.6793, 0.7982
0.0892, 0.8744, 0.3236
0.2859, 0.9825, 0.2007
0.9398, 0.1492, 0.8261
0.403, 0.3359, 0.2714
0.3666, 0.3263, 0.6955
0.4445, 0.473, 0.3819
0.6455, 0.5859, 0.7119
0.3976, 0.3894, 0.3892
0.6876, 0.7447, 0.8837
0.3237, 0.4417, 0.737
0.6971, 0.6105, 0.8809
0.8104, 0.4216, 0.4806
0.3519, 0.4042, 0.676
0.901, 0.6871, 0.3669
0.1815, 1.0, 0.3684
0.4114, 0.5661, 0.4418
0.2173, 1.0, 0.3188
0.7354, 0.6372, 0.4698
0.4384, 0.3266, 0.7769
0.5299, 0.6329, 0.5129
0.7492, 0.2531, 0.9075
0.2525, 0.5959, 0.5623
0.9244, 0.1858, 0.8572
0.7549, 0.6905, 0.8436
0.487, 0.8729, 0.6339
0.5607, 0.2131, 0.2897
0.6231, 0.6367, 0.6657
0.6908, 0.6888, 0.5766
0.4584, 0.5558, 0.4672
0.4638, 0.8237, 0.3096
0.3157, 0.8027, 0.1368
0.4312, 0.552, 0.5355
0.5309, 0.8047, 0.7076
0.8111, 0.533, 0.8849
0.5498, 0.8482, 0.7343
0.6538, 0.5219, 0.7515
0.4636, 0.7092, 0.7305
0.2903, 1.0, 0.2009
0.3123, 0.5306, 0.5481
0.4025, 0.5421, 0.6584
0.2464, 0.2594, 0.5618
0.7839, 0.6625, 0.3422
0.5193, 0.744, 0.6841
0.6354, 0.3636, 0.2943
0.7188, 0.3038, 0.2551
0.6507, 0.7331, 0.8133
0.5978, 0.8872, 0.9844
0.4789, 0.2034, 0.7953
0.4367, 0.8362, 0.2807
0.527, 0.805, 0.745
0.8839, 0.3902, 0.4435
0.5588, 0.8242, 0.5711
0.5908, 0.6333, 1.0
0.7068, 0.6038, 0.9368
0.2964, 0.3986, 0.4703
0.883, 0.3956, 0.3406
0.5834, 0.6253, 0.6968
0.2387, 0.863, 0.1002
0.7975, 0.2319, 0.6743
0.5903, 0.693, 0.9485
0.79, 0.3311, 0.3781
0.5405, 0.6924, 0.7743
0.754, 0.4896, 0.3646
0.874, 0.6239, 0.7945
0.2536, 0.2861, 0.6634
0.5758, 0.2666, 0.2063
0.4956, 0.2585, 0.3337
0.5265, 0.6578, 0.7662
0.7153, 0.08, 0.7285
0.5657, 0.7774, 0.9815
0.8224, 0.3249, 0.7827
0.4859, 0.3124, 0.4148
0.778, 0.7392, 0.9657
0.744, 0.6835, 0.7178
0.2305, 0.7235, 0.1568
0.8995, 0.2174, 0.8658
0.566, 0.3495, 0.4047
0.6702, 0.1944, 0.3589
0.4873, 0.5655, 0.4578
0.7488, 0.3949, 0.5265
0.3926, 0.6065, 0.8019
0.2837, 0.2423, 0.2128
0.1973, 0.3329, 0.6535
0.7825, 0.1308, 0.8519
0.7355, 0.7501, 0.9908
0.2893, 0.2698, 0.6805
0.5968, 0.396, 0.8209
0.5557, 0.618, 0.3907
0.3832, 0.4043, 0.4243
0.4123, 0.8733, 0.0203
0.5068, 0.7258, 0.6319
0.6604, 0.8411, 0.6515
0.525, 0.2688, 0.4037
0.7292, 0.9742, 0.5762
0.4636, 0.6591, 0.7825
0.949, 0.1829, 0.8564
0.5073, 0.2804, 0.3778
0.5272, 0.31, 0.2652
0.3689, 0.3604, 0.4101
0.3203, 0.2991, 0.4718
0.6215, 0.7325, 0.7642
0.8133, 0.5223, 0.9249
0.9834, 0.5423, 0.3409
0.6779, 0.5568, 0.3156
0.6812, 0.7961, 0.9033
0.511, 0.3817, 0.3985
0.6818, 0.2538, 0.1863
0.2062, 0.3653, 0.8035
0.4502, 0.8764, 0.2611
0.1435, 0.9391, 0.3076
0.31, 0.464, 0.4561
0.588, 0.621, 0.5376
0.6021, 0.564, 0.8198
0.6351, 0.4262, 0.3531
0.8245, 0.2204, 0.8026
0.589, 0.7111, 0.7878
0.2462, 0.2772, 0.8555
0.4331, 0.5895, 0.5601
0.5534, 0.667, 0.6821
0.3726, 0.2877, 0.7975
0.5858, 0.6032, 0.8642
0.5052, 0.3035, 0.2374
0.5401, 0.4842, 0.9291
0.433, 0.245, 0.7537
0.7774, 0.6678, 0.9317
0.44, 0.6692, 0.7247
0.4336, 0.0648, 0.757
0.1985, 0.4359, 0.7452
0.4098, 0.6502, 0.5816
0.5007, 0.8272, 0.1861
0.8516, 0.1148, 0.9402
0.4959, 0.4666, 0.535
0.2861, 0.5577, 0.3707
0.3176, 0.5742, 0.8949
0.2415, 0.0989, 0.701
0.8962, 0.1112, 0.8362
0.8048, 0.5349, 0.304
0.7706, 0.3024, 0.8567
0.5272, 0.5364, 0.3568
0.4251, 0.3825, 0.3082
0.2113, 0.9707, 0.4127
0.7746, 0.4009, 0.9117
0.7232, 0.4393, 0.728
0.6668, 0.3161, 0.2085
0.5856, 0.8411, 0.8199
0.48, 0.4355, 0.3876
0.5882, 0.2828, 0.5787
0.3789, 0.4905, 0.6253
0.2661, 0.3282, 0.7446
0.8232, 0.3455, 0.4263
0.294, 0.9227, 0.1522
0.4763, 0.7316, 0.6834
0.8885, 0.5944, 0.3209
0.2505, 0.9361, 0.1422
0.9729, 0.5344, 0.4226
0.4738, 0.6578, 0.7824
0.4341, 0.5381, 0.3082
0.5046, 0.2953, 0.3936
0.3394, 0.3305, 0.6874
0.8381, 0.7611, 1.0
0.335, 0.1597, 0.6868
0.3302, 0.2877, 0.8571
0.5505, 0.9076, 0.8967
0.0781, 0.3858, 0.8654
0.9658, 0.3897, 0.7664
0.5971, 0.1872, 0.7607
0.3639, 0.3946, 0.4578
0.5588, 0.6639, 0.6324
0.4621, 0.5383, 0.4441
0.26, 0.9652, 0.2602
0.6929, 0.6309, 0.7464
0.143, 0.1208, 0.5679
0.6889, 0.6366, 0.5974
0.6157, 0.5769, 0.6111
0.7699, 0.7108, 0.7999
0.7436, 0.4842, 0.4788
0.5642, 0.7342, 0.8067
0.5836, 0.3265, 0.3202
0.1153, 0.2742, 0.6943
0.7893, 0.7198, 0.969
0.5788, 0.6466, 0.6537
1.0, 0.6312, 0.2738
0.6693, 0.718, 0.5416
0.6536, 0.3826, 0.3142
0.9108, 0.4411, 0.7473
0.5045, 0.2263, 0.4338
0.7278, 0.3706, 0.3763
0.3439, 0.4944, 0.5469
0.506, 0.53, 0.7947
0.7591, 0.3765, 0.435
0.782, 0.5468, 0.366
0.6077, 0.5453, 0.2612
0.7335, 0.6417, 0.3846
0.7196, 0.551, 0.4838
0.2993, 0.2426, 0.8764
0.6638, 0.5435, 0.9929
0.8443, 0.572, 0.1463
0.3976, 0.6575, 0.7414
0.9447, 0.2482, 0.9252
0.1177, 0.243, 0.7712
0.3817, 0.5647, 0.3727
0.5603, 0.2547, 0.625
0.7542, 0.7572, 0.7261
0.7661, 0.6909, 0.4165
0.9469, 0.3037, 1.0
0.8482, 0.6626, 0.7956
0.5274, 0.837, 0.7705
0.3194, 0.2304, 0.7744
0.6552, 0.7773, 1.0
0.8324, 0.5532, 0.5129
0.6802, 0.4235, 0.1491
0.6749, 0.2888, 0.8316
0.8344, 0.3614, 0.7443
0.5413, 0.4512, 0.3323
0.4327, 0.5125, 0.4106
0.1702, 0.4936, 0.5591
0.3137, 0.4448, 0.7551
0.5836, 0.7862, 0.6186
0.3845, 0.5277, 0.3804
0.3851, 0.2915, 0.3304
0.4996, 0.4436, 0.5867
0.6949, 0.7334, 0.9639
0.6669, 0.7464, 0.7036
0.4128, 0.2258, 0.7647
0.8186, 0.7768, 0.7786
0.62, 0.7738, 0.8246
0.4979, 0.2574, 0.4053
0.5048, 0.3406, 0.2171
0.3834, 0.2429, 0.3723
0.5021, 0.4886, 0.7416
0.3827, 0.5055, 0.7165
0.7383, 0.7101, 0.4206
0.1953, 0.1926, 0.8245
0.5535, 0.6655, 0.7177
0.484, 0.394, 0.3915
0.1858, 0.2679, 0.7316
0.4119, 0.1799, 0.3937
0.7051, 0.6855, 0.663
0.5005, 0.2131, 0.2726
0.8694, 0.729, 1.0
0.3666, 0.346, 0.5316
0.8156, 0.54, 0.5267
0.489, 0.2945, 0.7239
0.5813, 0.647, 0.6908
0.2683, 0.6301, 0.661
0.6725, 0.2199, 0.3636
0.4248, 0.0936, 0.3827
0.2594, 0.843, 0.1292
0.3688, 0.7859, 0.1884
0.6352, 0.7638, 0.8541
0.7775, 0.7015, 1.0
0.5529, 0.2964, 0.2508
0.1378, 0.227, 0.714
0.815, 0.3186, 0.2638
0.5176, 0.548, 0.5251
0.5049, 0.3985, 0.4606
0.685, 0.2203, 0.8642
0.6504, 0.4416, 0.2698
0.3761, 0.6326, 0.5365
0.7583, 0.7832, 0.7916
0.8322, 0.129, 0.8158
0.6301, 0.6307, 0.886
0.3939, 0.5045, 0.5106
0.6372, 0.3346, 0.9782
0.3616, 0.5054, 0.4798
0.5179, 0.4767, 0.6303
0.4738, 0.7309, 0.6007
0.6488, 0.7533, 0.5269
0.3013, 0.3182, 0.583
0.3654, 0.8963, 0.2655
0.6347, 0.8642, 1.0
0.1397, 0.3898, 0.8152
0.5316, 0.8152, 0.6654
0.8252, 0.216, 0.9951
0.2715, 0.0688, 0.7133
0.7536, 0.862, 1.0
0.4285, 0.4328, 0.5398
0.2282, 0.9499, 0.2473
0.5058, 0.2674, 0.3456
1.0, 0.4169, 0.3138
0.799, 0.6298, 0.857
0.679, 0.7192, 0.9422
0.5411, 0.2532, 0.1976
0.7848, 0.5246, 0.1842
0.3851, 0.3686, 0.7074
0.8197, 0.1678, 0.7563
0.6784, 0.0966, 0.7769
0.8032, 0.6281, 0.4101
0.5509, 0.5014, 1.0
0.6833, 0.6201, 0.5555
0.1723, 0.9395, 0.2098
0.7241, 0.67, 0.5762
0.6464, 0.5541, 0.3574
0.6231, 0.9107, 0.7005
0.6086, 0.6078, 0.2887
0.6754, 0.7122, 1.0
0.6303, 0.6241, 0.6949
0.572, 0.7712, 0.9644
0.4228, 0.1996, 0.2987
0.5605, 0.3453, 0.2833
0.7204, 0.1895, 0.9733
0.8088, 0.2138, 0.215
0.8921, 0.3587, 0.8918
0.4952, 0.3214, 0.2604
0.6916, 0.533, 0.7224
0.956, 0.3564, 0.1966
0.2812, 0.4495, 0.8147
0.3494, 0.2838, 0.4143
0.2278, 0.0677, 0.7035
0.5582, 0.2547, 0.3144
0.4744, 0.531, 0.5389
0.7236, 0.4407, 0.8189
0.6947, 0.6089, 0.8571
0.4781, 0.3648, 0.4526
1.0, 0.4614, 0.7945
0.3693, 0.311, 0.5305
0.4448, 0.2574, 0.3028
0.3284, 0.2485, 0.82
0.3492, 0.9934, 0.1116
0.4726, 0.7429, 0.7706
0.6698, 0.777, 0.795
0.7, 0.7833, 0.9634
0.2344, 0.8605, 0.237
0.5474, 0.5149, 0.7876
0.9005, 0.4172, 0.9069
0.8181, 0.7656, 0.9091
0.4166, 0.2375, 0.8869
0.43, 0.5026, 0.2262
0.6808, 0.5137, 0.3249
0.7743, 0.1383, 0.7498
0.4892, 0.5912, 0.616
0.6484, 0.6959, 0.9917
0.7191, 0.8078, 1.0
0.6962, 0.8189, 0.6616
0.3979, 0.5395, 0.5618
0.6497, 0.6768, 0.806
0.4316, 0.3757, 0.3142
0.5648, 0.7031, 0.7222
0.6697, 0.3727, 0.3067
0.6331, 0.611, 0.6486
0.6035, 0.2861, 0.6884
0.5424, 0.1271, 0.2259
0.6269, 0.6669, 0.8373
0.8469, 0.6274, 0.3555
0.5129, 0.4487, 0.5484
0.3143, 0.2736, 0.1433
0.8517, 0.6351, 0.8396
0.8298, 0.4234, 0.9826
0.4343, 0.2316, 0.3854
0.6111, 0.6257, 0.5824
